"id";"recordBasis";"kindOfUnit";"preparationType";"preparationDate";"gatheringDate";"collectors";"gatheringLocality";"gatheringCountry";"gatheringISOCountryCode";"gatheringLatitude";"gatheringLongitude";"institutionShort";"institutionFullName";"city";"instCountry";"instLattitude";"instLongitude";"accessionIdentifiers";"guid";"institutioncode";"collectioncode";"unitid";"scientificName";"genus";"species";"family";"order";"class";"phylum";"kingdom"
"28884350";"MaterialSample";"DNA";"gDNA";"2004-12-02T00:00:00";\N;\N;\N;"Costa Rica";"CR";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB297/2004";"B";"DNA Bank";"DB 297/2004";"Peperomia hirta";"Peperomia";"Peperomia hirta";"Piperaceae";"Piperales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884351";"MaterialSample";"DNA";"gDNA";"2005-08-19T00:00:00";\N;\N;"Province of Huarochiri, District of San Pedro De Casta, Mashca, Camino del Pueblo San Pedro de Caste.";"Peru";"PE";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB410";"B";"DNA Bank";"DB 410";"Senecio cerratei";"Senecio";"Senecio cerratei";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884352";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB123";"B";"DNA Bank";"DB 123";"Helminthotheca";"Helminthotheca";\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884353";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB124";"B";"DNA Bank";"DB 124";"Asteraceae";\N;\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884354";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB125";"B";"DNA Bank";"DB 125";"Senecio vulgaris";"Senecio";"Senecio vulgaris";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884355";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB126";"B";"DNA Bank";"DB 126";"Lactuca viminea";"Lactuca";"Lactuca viminea";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884356";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB127";"B";"DNA Bank";"DB 127";"Sonchus oleraceus";"Sonchus";"Sonchus oleraceus";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884357";"MaterialSample";"DNA";"gDNA";"2003-03-14T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB128";"B";"DNA Bank";"DB 128";"Pallenis spinosa spinosa";"Pallenis";"Pallenis spinosa";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884358";"MaterialSample";"DNA";"gDNA";"2003-03-17T00:00:00";"29.09.1999";"A. & J. Ueckert, Ch. Oberprieler";"Marche, Camerino, castle ruins """"Rocca Varano"""" NW Sferica.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB129";"B";"DNA Bank";"DB 129";"Carduus";"Carduus";\N;"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884359";"MaterialSample";"DNA";"gDNA";"2002-08-13T00:00:00";"12.10.1994";"Nielsen";"Lesvos, Mitilini.";"Greece";"GR";"39,1";"26,55";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB1";"B";"DNA Bank";"DB 1";"Cichorium pumilum";"Cichorium";"Cichorium pumilum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884360";"MaterialSample";"DNA";"gDNA";"2002-08-13T00:00:00";"05.05.1983";"T. Raus";"Karpathos, SE Pigadia.";"Greece";"GR";"35,4833";"27,2333";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB2";"B";"DNA Bank";"DB 2";"Cichorium pumilum";"Cichorium";"Cichorium pumilum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884361";"MaterialSample";"DNA";"gDNA";"2002-08-13T00:00:00";"23.05.1966";"Lüdtke";"Chios, S Pyrgi.";"Greece";"GR";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB3";"B";"DNA Bank";"DB 3";"Cichorium pumilum";"Cichorium";"Cichorium pumilum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884362";"MaterialSample";"DNA";"gDNA";"2005-08-11T00:00:00";\N;\N;"Gran Sasso d'Italia, Campo Imperatore.";"Italy";"IT";\N;\N;"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB316/2005";"B";"DNA Bank";"DB 316/2005";"Senecio scopolii floccosus";"Senecio";"Senecio scopolii";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884363";"MaterialSample";"DNA";"gDNA";"2002-08-13T00:00:00";\N;"J. M. Shay";"Kreta, Pirjiotissi, """"Kommos"""".";"Greece";"GR";"35";"24,7667";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB4";"B";"DNA Bank";"DB 4";"Cichorium spinosum";"Cichorium";"Cichorium spinosum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
"28884364";"MaterialSample";"DNA";"gDNA";"2002-08-13T00:00:00";\N;"J. M. Shay";"Kreta, Pirjiotissi, """"Kommos"""".";"Greece";"GR";"35";"24,7667";"BGBM";"Botanic Garden and Botanical Museum Berlin";"Berlin";"DE";"52.45414";"13.306653";\N;"http://dnabank.bgbm.org/object/DB5";"B";"DNA Bank";"DB 5";"Cichorium spinosum";"Cichorium";"Cichorium spinosum";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"Plantae"
